#car_type_id=2
50180052,25144077291815064,DR,0e01938fc48a2cfb5f2217fbfb00722d,153
50180056,25144103262945434,DR,b7b16ecf8ca53723593894116071700c,157
50180059,25144277611774108,DR,fde9264cf376fffe2ee4ddf4a988880d,160
50180063,25144277611774110,DR,051e4e127b92f5d98d3c79b195f2b291,164
50180066,25144278249308320,DR,d296c101daa88a51f6ca8cfc1ac79b50,167
#car_type_id=3
50180069,25144278685515938,DR,e2230b853516e7b05d79744fbd4c9c13,170
50180073,25144278702293156,DR,b73ce398c39f506af761d2277d853a92,174
50180076,25144279155277990,DR,90794e3b050f815354e3e29e977a88ab,177
50180079,25144279390159016,DR,b056eb1587586b71e2da9acfe4fbd19e,180
50180082,25144279406936234,DR,45645a27c4f1adc8a7a835976064a86d,183
#car_type_id=4
50180086,25144280195465388,DR,ad13a2a07ca4b7642959dc0c4c740ab6,187
50180089,25144280463900846,DR,18997733ec258a9fcaf239cc55d53363,190
50180093,25144280463900848,DR,2a084e55c87b1ebcdaad1f62fdbbac8e,194
50180095,25144280900108466,DR,e70611883d2760c8bbafb4acb29e3446,196
50180098,25144280900108468,DR,ab233b682ec355648e7891e66c54191b,199
#car_type_id=37
50180101,25144281621528758,DR,b53b3a3d6ab90ce0268229151c9bde11,202
50180104,25144281839632568,DR,8b16ebc056e613024c057be590b542eb,205
50180108,25144281839632570,DR,bea5955b308361a1b07bc55042e25e54,209
50180111,25144282259062972,DR,a67f096809415ca1c9f112d96d27689b,212
50180116,25144282493943998,DR,3871bd64012152bfb53fdf04b401193f,217
